fileName	dwellTimeCentre	dwellTimeTail	dwellTimeHead
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	60.0	30.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	20.0	10.0	70.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	20.0	60.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	60.0	10.0	110.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	10.0	70.0	50.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	20.0	20.0	60.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	70.0	70.0	30.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	10.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	20.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	10.0	10.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	20.0	60.0	60.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	30.0	20.0	30.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	10.0	10.0	60.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	60.0	20.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	20.0	20.0	
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data	10.0	70.0	
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F1_data_dwell_data		10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	10.0	220.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	20.0	90.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	220.0	80.0	90.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	100.0	70.0	70.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	80.0	20.0	80.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	90.0	60.0	80.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	50.0	100.0	80.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	80.0	80.0	70.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	90.0	70.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	80.0	10.0	60.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	70.0	20.0	220.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	70.0	90.0	90.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	90.0	70.0	70.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	70.0	80.0	100.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	80.0	80.0	60.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	120.0	80.0	90.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data	60.0	70.0	90.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data		30.0	60.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F2_data_dwell_data		70.0	
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F3_data_dwell_data	140.0	110.0	30.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F3_data_dwell_data	20.0	100.0	30.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F3_data_dwell_data	110.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F3_data_dwell_data	20.0	10.0	20.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F3_data_dwell_data	10.0	30.0	30.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F3_data_dwell_data	20.0	30.0	130.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F3_data_dwell_data	20.0	30.0	100.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F3_data_dwell_data	30.0	20.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F3_data_dwell_data	30.0	20.0	10.0
FCCPset_04_08_22_Optoscope_x10_10sec_CellCam_T3_F3_data_dwell_data	30.0	20.0	30.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_1_450_data_dwell_data	55.0	20.0	45.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_1_450_data_dwell_data	20.0	20.0	15.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_1_450_data_dwell_data	10.0	30.0	20.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_1_450_data_dwell_data	20.0	45.0	20.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_1_450_data_dwell_data	35.0	15.0	
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_1_450_data_dwell_data		30.0	
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data_dwell_data	20.0	25.0	20.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data_dwell_data	20.0	30.0	20.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data_dwell_data	20.0	50.0	25.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data_dwell_data	30.0	30.0	15.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data_dwell_data	30.0	85.0	50.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data_dwell_data	45.0	55.0	80.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data_dwell_data	20.0	25.0	25.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data_dwell_data	30.0	20.0	25.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data_dwell_data	50.0	30.0	30.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data_dwell_data	80.0	35.0	55.0
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data_dwell_data	75.0	20.0	
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data_dwell_data	50.0	50.0	
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data_dwell_data		80.0	
Olympus_x4_5sec_2023-12-04_2_filamentF_littleGuy_525_2000_data_dwell_data		80.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	320.0	150.0	95.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	100.0	80.0	65.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	110.0	70.0	85.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	40.0	45.0	70.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	70.0	90.0	105.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	75.0	55.0	115.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	65.0	65.0	80.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	50.0	420.0	130.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	120.0	745.0	85.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	120.0	95.0	65.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	130.0	50.0	55.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	120.0	85.0	80.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	95.0	70.0	65.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	75.0	90.0	75.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	450.0	130.0	435.0
Olympus_x4_5sec_2023-12-04_3_filamentA_cleaned_data_dwell_data	735.0	65.0	760.0
Olympus_x4_5sec_2023-12-04_pos01_filamentA_data_dwell_data	55.0	635.0	65.0
Olympus_x4_5sec_2023-12-04_pos01_filamentA_data_dwell_data	25.0	40.0	15.0
Olympus_x4_5sec_2023-12-04_pos01_filamentA_data_dwell_data	120.0	30.0	20.0
Olympus_x4_5sec_2023-12-04_pos01_filamentA_data_dwell_data	505.0	25.0	30.0
Olympus_x4_5sec_2023-12-04_pos01_filamentA_data_dwell_data	25.0	30.0	25.0
Olympus_x4_5sec_2023-12-04_pos01_filamentA_data_dwell_data	40.0	25.0	65.0
Olympus_x4_5sec_2023-12-04_pos01_filamentA_data_dwell_data	25.0	30.0	110.0
Olympus_x4_5sec_2023-12-04_pos01_filamentA_data_dwell_data	30.0	25.0	40.0
Olympus_x4_5sec_2023-12-04_pos01_filamentA_data_dwell_data	30.0	490.0	30.0
Olympus_x4_5sec_2023-12-04_pos01_filamentA_data_dwell_data	30.0	25.0	25.0
Olympus_x4_5sec_2023-12-04_pos01_filamentA_data_dwell_data	30.0	30.0	25.0
Olympus_x4_5sec_2023-12-04_pos01_filamentA_data_dwell_data	20.0	25.0	35.0
Olympus_x4_5sec_2023-12-04_pos01_filamentA_data_dwell_data	25.0	30.0	
Olympus_x4_5sec_2023-12-04_pos01_filamentA_data_dwell_data	20.0	30.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	40.0	60.0	20.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	50.0	60.0	300.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	300.0	50.0	60.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	60.0	40.0	230.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	60.0	320.0	30.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	50.0	170.0	20.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	230.0	820.0	50.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	40.0	540.0	50.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	40.0	10.0	150.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	300.0	290.0	60.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	20.0	60.0	60.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	160.0	230.0	50.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	60.0	40.0	40.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	830.0	20.0	320.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	60.0	60.0	150.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	530.0	50.0	830.0
Olympus_x4_10sec_2023-12-04_5_filamentA_1_710_data_dwell_data	160.0	160.0	540.0 
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	30.0	40.0	30.0
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	60.0	60.0	50.0
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	20.0	50.0	260.0
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	60.0	30.0	50.0
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	50.0	30.0	40.0
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	30.0	30.0	250.0
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	260.0	10.0	120.0
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	50.0	50.0	300.0
